# GENERATED by `npm run ratings:sync` - the sticker cards that are collectible and NOT
# DRAWN yet, one player id a line. Editing it by hand is harmless and pointless: the
# next sync rewrites it from the dataset and the art on disk.
#
# An undrawn card is not an error. `StickerCard` falls back to a silhouette at the same
# size, so the album has no hole in it - nothing here is failing, it is a worklist.
# What this file is FOR is memory: the sync compares it against the cards actually
# missing and names the ones that appeared since last time, which is how a rating tweak
# that creates a new collectible gets noticed at all.
#
# To draw one: save the full-size PNG as art/stickers-src/<id>.png (the id is the line
# below) and run `npm run ratings:sync`, which builds the small WebP the site serves
# and takes the line off. docs/missing-sticker-art.xlsx is the same list to work from.
#
# 15 cards of 115 collectibles, as of 2026-08-28.

# 1970
eng-1970-6     # Bobby Moore, England, legendary 90

# 1974
ned-1974-13    # Johan Neeskens, Netherlands, legendary 90
pol-1974-12    # Kazimierz Deyna, Poland, legendary 90

# 1978
ned-1978-12    # Rob Rensenbrink, Netherlands, legendary 90

# 1982
fra-1982-12    # Alain Giresse, France, legendary 92
fra-1982-10    # Michel Platini, France, legendary 91
ger-1982-11    # Karl-Heinz Rummenigge, Germany, legendary 90
pol-1982-20    # Zbigniew Boniek, Poland, legendary 90
bra-1982-10    # Zico, Brazil, legendary 90

# 1986
fra-1986-10    # Michel Platini, France, legendary 90
esp-1986-9     # Emilio Butragueño, Spain, legendary 90
eng-1986-10    # Gary Lineker, England, legendary 90
den-1986-10    # Preben Elkjær, Denmark, legendary 90
urs-1986-19    # Ihor Belanov, Soviet Union, legendary 90

# 2026
arg-2026-10    # Lionel Messi, Argentina, iconic 94
