name;country;world_cup_year;jersey_number;done;shorts
Lionel Messi;Argentina;2022;10;x;
Thibaut Courtois;Belgium;2022;1;x;
Kevin De Bruyne;Belgium;2022;7;x;
Alisson;Brazil;2022;1;x;
Neymar;Brazil;2022;10;x;
Vinícius Júnior;Brazil;2022;20;x;
Luka Modrić;Croatia;2022;10;x;
Harry Kane;England;2022;9;x;
Antoine Griezmann;France;2022;7;x;
Kylian Mbappé;France;2022;10;x;
Virgil van Dijk;Netherlands;2022;4;;same color
Robert Lewandowski;Poland;2022;9;red;
Rodri;Spain;2022;16;;blue
Lionel Messi;Argentina;2018;10;x;
Thibaut Courtois;Belgium;2018;1;x;
Kevin De Bruyne;Belgium;2018;7;x;
Eden Hazard;Belgium;2018;10;x;
Neymar;Brazil;2018;10;x;
Luka Modrić;Croatia;2018;10;x;
Antoine Griezmann;France;2018;7;x;
Kylian Mbappé;France;2018;10;x;
Philipp Lahm;Germany;2014;16;x;
Thomas Müller;Germany;2014;13;x;
Toni Kroos;Germany;2014;18;x;
Toni Kroos;Germany;2018;8;x;
Robert Lewandowski;Poland;2018;9;white;
Cristiano Ronaldo;Portugal;2018;7;;same color
Gerard Piqué;Spain;2018;3;;blue
Sergio Ramos;Spain;2018;15;;blue
Lionel Messi;Argentina;2014;10;x;
Thiago Silva;Brazil;2014;3;x;
Neymar;Brazil;2014;10;x;
Manuel Neuer;Germany;2014;1;x;
Arjen Robben;Netherlands;2014;11;;white
Cristiano Ronaldo;Portugal;2014;7;;same color
Andrés Iniesta;Spain;2018;6;;blue
Sergio Busquets;Spain;2018;5;;blue
Andrés Iniesta;Spain;2014;6;;same color
Luis Suárez;Uruguay;2014;9;;
Lionel Messi;Argentina;2010;10;x;
Wesley Sneijder;Netherlands;2010;10;;same color
Iker Casillas;Spain;2010;1;;same color
Andrés Iniesta;Spain;2010;6;x;
Xavi;Spain;2010;8;x;
Ronaldinho;Brazil;2006;10;x;
Zinedine Zidane;France;2006;10;x;
Andrea Pirlo;Italy;2006;21;x;
Francesco Totti;Italy;2006;10;x;
Fabio Cannavaro;Italy;2006;5;x;
Gianluigi Buffon;Italy;2006;1;;
Ronaldo;Brazil;2002;9;x;
Ronaldo;Brazil;1998;9;x;
Zinedine Zidane;France;1998;10;x;
Cristiano Ronaldo;Portugal;2010;7;;white
David Villa;Spain;2010;7;x;
