year,team,team_code,shirt_number,player,position,position_group,rating,is_legend
1950,Uruguay,uru,1,Máspoli,Goalkeeper,Goalkeepers,84,true
1950,Uruguay,uru,2,M. González,Centre-back,Defence,80,false
1950,Uruguay,uru,3,Tejera,Left-back,Defence,80,false
1950,Uruguay,uru,4,Gambetta,Centre-back,Defence,78,false
1950,Uruguay,uru,10,Schiaffino,Attacking midfielder,Midfield,90,true
1950,Uruguay,uru,5,Varela,Defensive midfielder,Midfield,88,true
1950,Uruguay,uru,6,Andrade,Right midfielder,Midfield,84,true
1950,Uruguay,uru,8,J. Pérez,Attacking midfielder,Midfield,79,false
1950,Uruguay,uru,7,Ghiggia,Right winger,Attack,86,true
1950,Uruguay,uru,9,Míguez,Centre-forward,Attack,83,false
1950,Uruguay,uru,11,Vidal,Right winger,Attack,78,false
1954,Hungary,hun,1,Grosics,Goalkeeper,Goalkeepers,90,true
1954,Hungary,hun,21,Gellér,Goalkeeper,Goalkeepers,74,false
1954,Hungary,hun,22,Gulyás,Goalkeeper,Goalkeepers,70,false
1954,Hungary,hun,3,Lóránt,Centre-back,Defence,84,true
1954,Hungary,hun,2,Buzánszky,Right-back,Defence,82,true
1954,Hungary,hun,4,Lantos,Left-back,Defence,82,true
1954,Hungary,hun,13,Várhidi,Centre-back,Defence,73,false
1954,Hungary,hun,12,Kárpáti,Centre-back,Defence,72,false
1954,Hungary,hun,5,Bozsik,Defensive midfielder,Midfield,90,true
1954,Hungary,hun,9,Hidegkuti,Attacking midfielder,Midfield,89,true
1954,Hungary,hun,6,Zakariás,Right midfielder,Midfield,80,false
1954,Hungary,hun,19,Palotás,Attacking midfielder,Midfield,76,false
1954,Hungary,hun,15,Szojka,Defensive midfielder,Midfield,72,false
1954,Hungary,hun,14,I. Kovács,Right midfielder,Midfield,71,false
1954,Hungary,hun,10,Puskás,Left winger,Attack,96,true
1954,Hungary,hun,8,Kocsis,Centre-forward,Attack,92,true
1954,Hungary,hun,11,Czibor,Left winger,Attack,85,true
1954,Hungary,hun,16,Budai,Right winger,Attack,80,false
1954,Hungary,hun,7,J. Tóth,Left winger,Attack,76,false
1954,Hungary,hun,17,Machos,Centre-forward,Attack,74,false
1954,Hungary,hun,18,Csordás,Centre-forward,Attack,72,false
1954,Hungary,hun,20,M. Tóth,Left winger,Attack,71,false
1954,Austria,aut,16,Zeman,Goalkeeper,Goalkeepers,84,true
1954,Austria,aut,1,Schmied,Goalkeeper,Goalkeepers,77,false
1954,Austria,aut,15,Pelikan,Goalkeeper,Goalkeepers,72,false
1954,Austria,aut,2,Hanappi,Centre-back,Defence,89,true
1954,Austria,aut,3,Happel,Centre-back,Defence,85,true
1954,Austria,aut,4,Barschandt,Centre-back,Defence,76,false
1954,Austria,aut,12,Stotz,Left-back,Defence,75,false
1954,Austria,aut,20,Halla,Centre-back,Defence,73,false
1954,Austria,aut,5,Ocwirk,Defensive midfielder,Midfield,90,true
1954,Austria,aut,21,Stojaspal,Attacking midfielder,Midfield,81,false
1954,Austria,aut,6,Koller,Right midfielder,Midfield,79,false
1954,Austria,aut,13,Kollmann,Right midfielder,Midfield,73,false
1954,Austria,aut,14,Giesser,Defensive midfielder,Midfield,71,false
1954,Austria,aut,17,Teinitzer,Midfielder,Midfield,70,false
1954,Austria,aut,18,Riegler,Defensive midfielder,Midfield,70,false
1954,Austria,aut,9,Wagner,Centre-forward,Attack,84,false
1954,Austria,aut,7,R. Körner,Right winger,Attack,82,false
1954,Austria,aut,11,A. Körner,Left winger,Attack,82,false
1954,Austria,aut,10,Probst,Centre-forward,Attack,82,false
1954,Austria,aut,19,Dienst,Centre-forward,Attack,76,false
1954,Austria,aut,8,Schleger,Right winger,Attack,75,false
1954,Austria,aut,22,Haummer,Left winger,Attack,70,false
1954,Brazil,bra,1,Castilho,Goalkeeper,Goalkeepers,80,false
1954,Brazil,bra,21,Veludo,Goalkeeper,Goalkeepers,72,false
1954,Brazil,bra,22,Cabeção,Goalkeeper,Goalkeepers,72,false
1954,Brazil,bra,2,Djalma Santos,Right-back,Defence,88,true
1954,Brazil,bra,3,Nílton Santos,Left-back,Defence,88,true
1954,Brazil,bra,5,Pinheiro,Centre-back,Defence,80,false
1954,Brazil,bra,15,Mauro,Centre-back,Defence,80,true
1954,Brazil,bra,12,Paulinho,Centre-back,Defence,73,false
1954,Brazil,bra,13,Alfredo,Centre-back,Defence,73,false
1954,Brazil,bra,8,Didi,Midfielder,Midfield,87,true
1954,Brazil,bra,6,Bauer,Defensive midfielder,Midfield,80,false
1954,Brazil,bra,4,Brandãozinho,Defensive midfielder,Midfield,78,false
1954,Brazil,bra,14,Ely,Defensive midfielder,Midfield,74,false
1954,Brazil,bra,16,Dequinha,Midfielder,Midfield,73,false
1954,Brazil,bra,7,Julinho,Right winger,Attack,86,true
1954,Brazil,bra,9,Baltazar,Centre-forward,Attack,79,false
1954,Brazil,bra,10,Pinga,Left winger,Attack,78,false
1954,Brazil,bra,11,Rodrigues,Left winger,Attack,76,false
1954,Brazil,bra,17,Maurinho,Right winger,Attack,73,false
1954,Brazil,bra,18,Humberto,Centre-forward,Attack,73,false
1954,Brazil,bra,19,Índio,Centre-forward,Attack,72,false
1954,Brazil,bra,20,Rubens,Centre-forward,Attack,72,false
1954,Germany,ger,1,Turek,Goalkeeper,Goalkeepers,86,true
1954,Germany,ger,21,Kubsch,Goalkeeper,Goalkeepers,73,false
1954,Germany,ger,22,Kwiatkowski,Goalkeeper,Goalkeepers,72,false
1954,Germany,ger,10,Liebrich,Centre-back,Defence,84,true
1954,Germany,ger,7,Posipal,Centre-back,Defence,82,false
1954,Germany,ger,3,Kohlmeyer,Left-back,Defence,80,false
1954,Germany,ger,5,Erhardt,Centre-back,Defence,75,false
1954,Germany,ger,2,Laband,Centre-back,Defence,74,false
1954,Germany,ger,4,Bauer,Left-back,Defence,74,false
1954,Germany,ger,16,F. Walter,Midfielder,Midfield,91,true
1954,Germany,ger,13,Morlock,Attacking midfielder,Midfield,84,true
1954,Germany,ger,6,Eckel,Right midfielder,Midfield,82,true
1954,Germany,ger,8,Mai,Right midfielder,Midfield,76,false
1954,Germany,ger,19,Pfaff,Midfielder,Midfield,76,false
1954,Germany,ger,9,Mebus,Defensive midfielder,Midfield,72,false
1954,Germany,ger,11,Metzner,Defensive midfielder,Midfield,72,false
1954,Germany,ger,12,Rahn,Right winger,Attack,86,true
1954,Germany,ger,20,Schäfer,Left winger,Attack,83,true
1954,Germany,ger,15,O. Walter,Centre-forward,Attack,80,false
1954,Germany,ger,14,Klodt,Right winger,Attack,74,false
1954,Germany,ger,17,Herrmann,Left winger,Attack,73,false
1954,Germany,ger,18,Biesinger,Centre-forward,Attack,71,false
1954,Uruguay,uru,1,Máspoli,Goalkeeper,Goalkeepers,84,true
1954,Uruguay,uru,12,Maceiras,Goalkeeper,Goalkeepers,72,false
1954,Uruguay,uru,2,Santamaría,Centre-back,Defence,82,true
1954,Uruguay,uru,14,Tejera,Left-back,Defence,79,false
1954,Uruguay,uru,3,W. Martínez,Right-back,Defence,76,false
1954,Uruguay,uru,13,Davoine,Centre-back,Defence,73,false
1954,Uruguay,uru,10,Schiaffino,Attacking midfielder,Midfield,91,true
1954,Uruguay,uru,5,Varela,Defensive midfielder,Midfield,85,true
1954,Uruguay,uru,4,Andrade,Right midfielder,Midfield,84,true
1954,Uruguay,uru,21,J. Pérez,Attacking midfielder,Midfield,78,false
1954,Uruguay,uru,6,Leopardi,Defensive midfielder,Midfield,74,false
1954,Uruguay,uru,16,Carballo,Defensive midfielder,Midfield,74,false
1954,Uruguay,uru,15,Rivera,Right midfielder,Midfield,73,false
1954,Uruguay,uru,17,L. Cruz,Midfielder,Midfield,73,false
1954,Uruguay,uru,7,Abbadie,Right winger,Attack,84,false
1954,Uruguay,uru,9,Míguez,Centre-forward,Attack,83,false
1954,Uruguay,uru,8,Hohberg,Centre-forward,Attack,80,false
1954,Uruguay,uru,11,Borges,Left winger,Attack,80,false
1954,Uruguay,uru,19,Ambrois,Centre-forward,Attack,78,false
1954,Uruguay,uru,22,L. Castro,Right winger,Attack,74,false
1954,Uruguay,uru,18,Souto,Centre-forward,Attack,73,false
1954,Uruguay,uru,20,O. Méndez,Left winger,Attack,73,false
1954,Yugoslavia,yug,1,Beara,Goalkeeper,Goalkeepers,88,true
1954,Yugoslavia,yug,12,Kralj,Goalkeeper,Goalkeepers,72,false
1954,Yugoslavia,yug,2,Stanković,Right-back,Defence,82,false
1954,Yugoslavia,yug,5,Horvat,Centre-back,Defence,80,false
1954,Yugoslavia,yug,3,Crnković,Left-back,Defence,79,false
