year;team;name;position;rating;rating_ext;diff;is_collectible;is_legend
2002;ARG;Claudio Caniggia;ST;72;85;13;false;false
1990;YUG;Davor Šuker;ST;66;79;13;false;false
2022;CRC;Celso Borges;CM;73;85;12;false;false
2002;ARG;Pablo Cavallero;GK;68;80;12;false;false
1990;YUG;Alen Bokšić;ST;66;78;12;false;false
2002;NGA;Rabiu Afolabi;CB;65;77;12;false;false
2002;ARG;Gabriel Batistuta;ST;82;93;11;false;true
1994;MEX;Hugo Sánchez;ST;80;91;11;false;true
2010;JPN;Kengo Nakamura;CM;75;86;11;false;true
2002;NGA;Jay-Jay Okocha;AM;82;92;10;false;true
2002;ARG;Juan Sebastián Verón;CM;80;90;10;false;true
1990;CMR;Roger Milla;ST;78;88;10;false;true
2002;NGA;Nwankwo Kanu;ST;78;88;10;false;true
1990;ROU;Florin Răducioiu;ST;74;84;10;false;false
1994;GER;Oliver Kahn;GK;74;84;10;false;false
2022;KOR;Hwang Ui-jo;ST;74;84;10;false;false
2022;KOR;Jung Woo-young;DM;73;83;10;false;false
2014;ALG;Riyad Mahrez;RW;72;82;10;false;false
1990;EGY;Tarek Soliman;LM;66;76;10;false;false
1994;NED;John de Wolf;CB;66;76;10;false;false
2002;NGA;Efe Sodje;CB;64;74;10;false;false
2002;NGA;Benedict Akwuegbu;ST;64;74;10;false;false
2022;KOR;Lee Jae-sung;AM;77;86;9;false;false
2022;CRC;Bryan Ruiz;AM;75;84;9;false;false
2022;KOR;Kim Young-gwon;CB;75;84;9;false;false
1994;COL;Mauricio Serna;DM;70;79;9;false;false
1990;YUG;Vujadin Stanojković;RB;68;77;9;false;false
2002;NGA;Isaac Okoronkwo;CB;68;77;9;false;false
1994;MEX;Missael Espinoza;CM;66;75;9;false;false
1994;MEX;Jorge Rodríguez;CM;66;75;9;false;false
2002;NGA;Bartholomew Ogbeche;ST;66;75;9;false;false
2002;NGA;Pius Ikedia;RW;65;74;9;false;false
1990;EGY;Ayman Shawky;AM;64;73;9;false;false
1990;EGY;Adel Abdel Rahman;CM;64;73;9;false;false
1990;ROU;Zsolt Muzsnay;CM;64;73;9;false;false
1990;TCH;Vladimír Kinier;CB;64;73;9;false;false
1990;TCH;Peter Palúch;GK;64;73;9;false;false
1990;TCH;Viliam Hýravý;ST;64;73;9;false;false
2006;BRA;Ronaldinho;AM;87;95;8;false;true
1994;ARG;Gabriel Batistuta;ST;84;92;8;false;true
2002;FRA;Thierry Henry;ST;84;92;8;false;true
2002;ARG;Hernán Crespo;ST;80;88;8;false;false
2006;ARG;Lionel Messi;RW;80;88;8;false;true
1990;ROU;Gheorghe Popescu;CB;79;87;8;false;true
1994;ARG;Claudio Caniggia;ST;79;87;8;false;false
2002;ARG;Diego Simeone;DM;79;87;8;false;false
2022;KOR;Hwang Hee-chan;LW;78;86;8;false;false
1990;BRA;Valdo;CM;76;84;8;false;false
1990;BRA;Müller;ST;76;84;8;false;false
2002;CMR;Geremi;RM;76;84;8;false;false
2010;KOR;Ki Sung-yueng;CM;76;84;8;false;true
2010;KOR;Lee Woon-jae;GK;74;82;8;false;true
2018;ARG;Franco Armani;GK;74;82;8;false;false
2022;CRC;Joel Campbell;RW;73;81;8;false;false
2022;KOR;Kwon Chang-hoon;AM;73;81;8;false;false
1990;NED;John van 't Schip;RW;72;80;8;false;false
2002;MEX;Jorge Campos;GK;72;80;8;false;false
2022;KOR;Hong Chul;LB;72;80;8;false;false
1990;NED;Stanley Menzo;GK;70;78;8;false;false
1990;NED;Hans Gillhaus;ST;70;78;8;false;false
1994;ARG;Luis Islas;GK;70;78;8;false;false
1994;NED;Theo Snelders;GK;70;78;8;false;false
1990;EGY;Ashraf Kasem;RB;68;76;8;false;false
1994;ROU;Viorel Moldovan;ST;68;76;8;false;false
2002;NGA;Vincent Enyeama;GK;68;76;8;false;false
2002;NGA;Ifeanyi Udeze;LB;68;76;8;false;false
2002;USA;Tony Meola;GK;68;76;8;false;false
2010;JPN;Yoshikatsu Kawaguchi;GK;68;76;8;false;false
2014;GHA;Fatau Dauda;GK;68;76;8;false;false
1990;COL;Rubén Darío Hernández;ST;66;74;8;false;false
1990;EGY;Ahmed Ramzy;RM;66;74;8;false;false
1990;TCH;Peter Fieber;RB;66;74;8;false;false
2002;CMR;Eric Djemba-Djemba;DM;66;74;8;false;false
2002;IRL;Steven Reid;CM;66;74;8;false;false
2002;IRL;David Connolly;ST;66;74;8;false;false
2002;IRL;Clinton Morrison;ST;66;74;8;false;false
2002;NGA;Austin Ejide;GK;66;74;8;false;false
2002;NGA;Justice Christopher;CM;65;73;8;false;false
1990;COL;Miguel Guerrero;ST;64;72;8;false;false
1990;EGY;Ayman Taher;GK;64;72;8;false;false
1990;EGY;Thabet El-Batal;GK;64;72;8;false;false
1990;EGY;Osama Orabi;CM;64;72;8;false;false
1990;YUG;Andrej Panađić;CB;64;72;8;false;false
2002;CMR;Patrick Suffo;ST;64;72;8;false;false
2002;NGA;Eric Ejiofor;CB;64;72;8;false;false
2002;NGA;Femi Opabunmi;LW;64;72;8;false;false
1990;NED;Frank Rijkaard;DM;85;92;7;false;true
1994;ARG;Diego Maradona;AM;85;92;7;false;true
1994;COL;Carlos Valderrama;AM;85;92;7;false;true
1994;MEX;Jorge Campos;GK;80;87;7;false;true
1990;BRA;Bebeto;ST;79;86;7;false;false
1994;ARG;Diego Simeone;CM;79;86;7;false;false
2002;ARG;Pablo Aimar;AM;79;86;7;false;false
1990;BRA;Branco;LB;78;85;7;false;false
1990;BRA;Alemão;DM;78;85;7;false;false
1990;YUG;Safet Sušić;AM;78;85;7;false;false
2002;TUR;Hasan Şaş;LW;78;85;7;false;false
1990;COL;Freddy Rincón;CM;76;83;7;false;false
2006;ECU;Antonio Valencia;RM;76;83;7;false;true
2002;NGA;Taribo West;CB;75;82;7;false;true
1990;NED;Aron Winter;CM;74;81;7;false;false
2002;CMR;Lauren;RB;74;81;7;false;false
2002;ESP;Joaquín;RW;74;81;7;false;false
2010;KOR;Lee Jung-soo;CB;74;81;7;false;false
2022;KOR;Kim Jin-su;LB;74;81;7;false;false
2010;KOR;Lee Dong-gook;ST;73;80;7;false;true
1990;NED;Richard Witschge;LW;72;79;7;false;false
2014;GHA;Jordan Ayew;ST;72;79;7;false;false
2018;ARG;Nahuel Guzmán;GK;72;79;7;false;false
2018;BRA;Cássio;GK;72;79;7;false;false
2010;KOR;Kim Jae-sung;RM;71;78;7;false;false
2018;ARG;Willy Caballero;GK;71;78;7;false;false
1994;NED;Stan Valckx;CB;70;77;7;false;false
2022;CRC;Kendall Waston;CB;70;77;7;false;false
2002;JPN;Akinori Nishizawa;ST;68;75;7;false;false
2002;NGA;John Utaka;RW;68;75;7;false;false
2014;SUI;Marco Bürki;RB;68;75;7;false;false
2010;KOR;Kim Young-kwang;GK;67;74;7;false;false
1990;EGY;Saber Eid;LB;66;73;7;false;false
1990;EGY;Magdy Tolba;RM;66;73;7;false;false
1990;IRL;Gerry Peyton;GK;66;73;7;false;false
1990;IRL;Alan McLoughlin;CM;66;73;7;false;false
1990;IRL;Bernie Slaven;ST;66;73;7;false;false
1990;IRL;David Kelly;ST;66;73;7;false;false
1990;IRL;John Byrne;ST;66;73;7;false;false
1990;NED;John van Loen;ST;66;73;7;false;false
1990;YUG;Fahrudin Omerović;GK;66;73;7;false;false
1994;ARG;Hugo Pérez;CM;66;73;7;false;false
1994;MEX;Luis Antonio Valdéz;ST;66;73;7;false;false
1994;MEX;Luis Miguel Salvador;ST;66;73;7;false;false
2002;IRL;Alan Kelly;GK;66;73;7;false;false
1990;COL;Geovanis Cassiani;CB;64;71;7;false;false
2002;NGA;James Obiorah;ST;64;71;7;false;false
