year,team,team_code,squad_size_reported,players_parsed,legends_reported,legends_parsed,avg_rating_reported
1950,England,eng,21,0,4,0,81
1950,Brazil,bra,22,0,4,0,80
1950,Spain,esp,22,0,5,0,79
1950,Italy,ita,22,0,3,0,78
1950,Uruguay,uru,,11,5,5,
1950,Yugoslavia,yug,22,0,6,0,78
1950,Sweden,swe,21,0,4,0,77
1950,Chile,chi,22,0,3,0,75
1950,Mexico,mex,22,0,2,0,75
1950,Switzerland,sui,22,0,1,0,75
1950,Paraguay,par,22,0,0,0,74
1950,United States,usa,18,0,3,0,74
1954,Hungary,hun,,22,9,9,
1954,Austria,aut,22,22,4,4,78
1954,Brazil,bra,22,22,5,5,78
1954,Germany,ger,22,22,7,7,78
1954,Uruguay,uru,22,22,5,5,78
1954,Yugoslavia,yug,22,22,7,7,78
1954,England,eng,22,22,7,7,77
1954,France,fra,22,22,4,4,77
1954,Italy,ita,22,22,1,1,77
1954,Switzerland,sui,22,22,1,1,76
1954,Scotland,sco,22,22,2,2,74
1954,Czechoslovakia,tch,22,22,3,3,74
1954,Turkey,tur,22,22,3,3,74
1958,Brazil,bra,,22,10,10,
1958,Germany,ger,18,18,6,6,79
1958,England,eng,22,22,5,5,78
1958,France,fra,22,22,5,5,78
1958,Sweden,swe,22,22,7,7,78
1958,Soviet Union,urs,22,22,5,5,78
1958,Yugoslavia,yug,19,19,4,4,77
1958,Argentina,arg,22,22,4,4,76
1958,Hungary,hun,22,22,4,4,76
1958,Northern Ireland,nir,22,22,5,5,76
1958,Paraguay,par,22,22,1,1,76
1958,Wales,wal,22,22,4,4,76
1962,Brazil,bra,,22,10,10,
1962,Spain,esp,22,22,5,5,82
1962,England,eng,22,22,6,6,79
1962,Italy,ita,22,22,5,5,79
1962,Soviet Union,urs,22,22,6,6,79
1962,Czechoslovakia,tch,22,22,5,5,78
1962,Chile,chi,20,20,2,2,77
1962,Germany,ger,22,22,4,4,77
1962,Hungary,hun,22,22,4,4,77
1962,Argentina,arg,22,22,4,4,76
1962,Yugoslavia,yug,22,22,4,4,76
1962,Mexico,mex,22,22,2,2,75
1966,England,eng,,22,11,11,
1966,Spain,esp,22,22,5,5,80
1966,Brazil,bra,22,22,8,8,79
1966,Italy,ita,22,22,5,5,79
1966,Argentina,arg,22,22,7,7,78
1966,Germany,ger,22,22,5,5,78
1966,Hungary,hun,22,22,4,4,78
1966,Soviet Union,urs,22,22,3,3,78
1966,Portugal,por,22,22,2,2,77
1966,France,fra,22,22,0,0,75
1966,Mexico,mex,22,22,3,3,75
1970,England,eng,22,22,4,4,80
1970,Germany,ger,22,22,4,4,80
1970,Brazil,bra,,22,4,4,
1970,Italy,ita,22,22,4,4,76
1970,Bulgaria,bul,22,22,2,2,75
1970,Peru,per,22,22,2,2,75
1970,Romania,rou,22,22,2,2,74
1970,Belgium,bel,22,22,2,2,73
1970,Mexico,mex,22,22,2,2,73
1970,Uruguay,uru,22,22,1,1,73
1974,Germany,ger,22,22,3,3,81
1974,Brazil,bra,22,22,2,2,80
1974,Italy,ita,22,22,4,4,80
1974,Netherlands,ned,,22,2,2,
1974,Argentina,arg,22,22,0,0,78
1974,Scotland,sco,22,22,2,2,78
1974,Chile,chi,22,22,3,3,77
1974,Poland,pol,22,22,2,2,76
1974,Sweden,swe,22,22,2,2,76
1974,Uruguay,uru,22,22,2,2,75
1978,Argentina,arg,22,22,1,1,79
1978,Brazil,bra,22,22,2,2,79
1978,Italy,ita,22,22,3,3,79
1978,Spain,esp,22,22,2,2,77
1978,Netherlands,ned,22,22,1,1,77
1978,Poland,pol,22,22,3,3,77
1978,Scotland,sco,22,22,2,2,77
1978,Austria,aut,22,22,1,1,76
1978,France,fra,22,22,2,2,76
1978,Peru,per,22,22,2,2,75
1978,Mexico,mex,22,22,1,1,72
1982,England,eng,22,22,3,3,80
1982,Argentina,arg,22,22,4,4,79
1982,France,fra,22,22,3,3,79
1982,Germany,ger,22,22,2,2,79
1982,Italy,ita,,22,5,5,
1982,Brazil,bra,,22,3,3,
1982,Scotland,sco,22,22,3,3,78
1982,Belgium,bel,22,22,3,3,77
1982,Austria,aut,22,22,2,2,76
1982,Poland,pol,22,22,2,2,76
1982,Algeria,alg,20,20,0,0,73
1982,Cameroon,cmr,22,22,2,2,72
1986,Germany,ger,22,22,3,3,80
1986,Italy,ita,22,22,2,2,80
1986,Brazil,bra,22,22,5,5,79
1986,England,eng,22,22,2,2,79
1986,France,fra,21,21,1,1,79
1986,Argentina,arg,,22,1,1,
1986,Denmark,den,22,22,1,1,78
1986,Spain,esp,22,22,2,2,78
1986,Uruguay,uru,22,22,2,2,77
1986,Belgium,bel,22,22,3,3,75
1986,Bulgaria,bul,22,22,0,0,75
1986,Morocco,mar,22,22,3,3,75
1986,Mexico,mex,22,22,1,1,75
1986,Poland,pol,22,22,2,2,75
1986,Paraguay,par,22,22,2,2,73
1990,Germany,ger,22,22,2,2,82
1990,Italy,ita,22,22,3,3,82
1990,Brazil,bra,22,22,3,3,81
1990,Netherlands,ned,22,22,3,3,81
1990,Yugoslavia,yug,22,22,0,0,79
1990,England,eng,22,22,4,4,78
1990,Argentina,arg,22,22,1,1,77
1990,Czech Republic,cze,22,22,0,0,77
1990,Romania,rou,22,22,2,2,77
1990,Colombia,col,22,22,2,2,76
1990,Ireland,irl,22,22,1,1,76
1990,Egypt,egy,22,22,0,0,75
1990,Cameroon,cmr,22,22,2,2,74
1994,Germany,ger,22,22,3,3,82
1994,Netherlands,ned,22,22,3,3,81
1994,Brazil,bra,,22,3,3,
1994,Argentina,arg,22,22,2,2,79
1994,Italy,ita,22,22,3,3,79
1994,Mexico,mex,22,22,2,2,77
1994,Romania,rou,22,22,2,2,77
1994,Sweden,swe,22,22,1,1,77
1994,Bulgaria,bul,22,22,1,1,76
1994,Colombia,col,22,22,1,1,76
1994,Nigeria,nga,22,22,1,1,76
1994,United States,usa,22,22,0,0,74
1998,France,fra,,22,3,3,
1998,Argentina,arg,22,22,3,3,81
1998,England,eng,22,22,3,3,81
1998,Italy,ita,22,22,3,3,81
1998,Netherlands,ned,22,22,2,2,81
1998,Brazil,bra,22,22,4,4,80
1998,Germany,ger,22,22,3,3,80
1998,Yugoslavia,yug,22,22,0,0,79
1998,Croatia,cro,22,22,3,3,78
1998,Nigeria,nga,22,22,2,2,78
1998,Denmark,den,22,22,3,3,77
1998,Chile,chi,22,22,2,2,77
1998,Colombia,col,22,22,2,2,76
1998,Paraguay,par,22,22,2,2,74
2002,France,fra,22,22,3,3,83
2002,Argentina,arg,23,23,3,3,82
2002,Brazil,bra,,23,6,6,
2002,Italy,ita,23,23,6,6,80
2002,Germany,ger,23,23,3,3,79
2002,England,eng,23,23,3,3,79
2002,Portugal,por,23,23,2,2,78
2002,Denmark,den,23,23,1,1,77
2002,Spain,esp,23,23,1,1,77
2002,Ireland,irl,22,22,2,2,77
2002,Mexico,mex,22,22,3,3,77
2002,Nigeria,nga,23,23,3,3,77
2002,Turkey,tur,23,23,0,0,77
2002,Japan,jpn,22,22,2,2,76
2002,United States,usa,23,23,0,0,76
2002,South Korea,kor,23,23,0,0,75
2002,Cameroon,cmr,23,23,2,2,74
2002,Senegal,sen,23,23,0,0,73
2006,Brazil,bra,23,23,3,3,84
2006,Argentina,arg,22,22,2,2,82
2006,England,eng,22,22,3,3,82
2006,France,fra,23,23,2,2,81
2006,Germany,ger,22,22,3,3,81
2006,Italy,ita,,23,6,6,
2006,Portugal,por,23,23,3,3,79
2006,Netherlands,ned,23,23,3,3,79
2006,Czech Republic,cze,23,23,2,2,78
2006,Sweden,swe,23,23,2,2,78
2006,Ivory Coast,civ,23,23,1,1,77
2006,Ukraine,ukr,23,23,1,1,77
2006,Ecuador,ecu,23,23,3,3,76
2006,Switzerland,sui,23,23,1,1,76
2006,Australia,aus,23,23,0,0,75
2010,Spain,esp,,23,5,5,
2010,Brazil,bra,22,22,2,2,82
2010,Argentina,arg,22,22,2,2,81
2010,England,eng,22,22,3,3,80
2010,Netherlands,ned,23,23,3,3,79
2010,Germany,ger,23,23,3,3,79
2010,Chile,chi,22,22,2,2,78
2010,Ivory Coast,civ,23,23,1,1,78
2010,South Korea,kor,23,23,6,6,78
2010,Portugal,por,23,23,2,2,78
2010,Greece,gre,23,23,1,1,76
2010,Japan,jpn,23,23,2,2,76
2010,Mexico,mex,23,23,0,0,76
2010,Uruguay,uru,23,23,2,2,76
2010,Paraguay,par,23,23,0,0,75
2010,Ghana,gha,23,23,0,0,73
2014,Germany,ger,,23,6,6,
2014,Brazil,bra,23,23,3,3,81
2014,Netherlands,ned,22,22,3,3,81
2014,France,fra,22,22,2,2,80
2014,Uruguay,uru,22,22,2,2,80
2014,Argentina,arg,23,23,1,1,79
2014,Belgium,bel,23,23,1,1,79
2014,Mexico,mex,23,23,1,1,79
2014,Colombia,col,23,23,1,1,78
2014,Algeria,alg,23,23,0,0,77
2014,Chile,chi,23,23,2,2,77
2014,Ivory Coast,civ,23,23,1,1,77
2014,Ghana,gha,22,22,2,2,77
2014,Greece,gre,23,23,1,1,77
2014,Switzerland,sui,23,23,0,0,77
